"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","compensation","coordinates","correct","correct_button_mouse","correct_instructions","correct_mouse","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_fixation","count_instructions","count_logger","count_mouse","count_reset_feedback","count_stimuli","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","initiation_time","initiation_time_mouse","left_color","left_shape","live_row","live_row_block_loop","live_row_experimental_loop","logfile","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_experiment","response_instructions","response_mouse","response_time","response_time_end_of_experiment","response_time_instructions","response_time_mouse","right_color","right_shape","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_loop","time_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_fixation","time_instructions","time_logger","time_mouse","time_reset_feedback","time_stimuli","time_trial_sequence","timestamps_mouse","title","total_correct","total_response_time","total_responses","trial_type","uniform_coordinates","width","xpos_mouse","ypos_mouse"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","left_button","undefined","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","None","None","#fc0107","circle","0","0","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.3369998671114445","NA","2376.3279002159834","2.3369998671114445","#fc0107","rectangle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","7278.211399912834","4859.604199882597","7486.668200232089","7482.372099999338","NA","7482.233200222254","7275.101700332016","[7484.193000011146, 7486.5299998782575]","Extended template","0","0","0","similar","yes","1024","[0, 0.0]","[0, -0.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","left_button","undefined","0","left_button","0","0","0","0","0","1","0","1","1","0","1","1","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","None","None","#fc0107","circle","1","1","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.3968000896275043","NA","2376.3279002159834","2.3968000896275043","#20ffff","rectangle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","7552.676800172776","4859.604199882597","7760.4765999130905","7757.095899898559","NA","7756.973300129175","7548.5944002866745","[7757.938200142235, 7760.335000231862]","Extended template","0","0","0","dissimilar","yes","1024","[0, 0.0]","[0, -0.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","left_button","undefined","0","left_button","0","0","0","0","0","2","0","2","2","0","2","2","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","None","None","#fc0107","circle","2","2","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.42799986153841","NA","2376.3279002159834","2.42799986153841","#20ffff","rectangle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","7820.952400099486","4859.604199882597","8029.094099998474","8025.483900215477","NA","8025.361600331962","7816.8840003199875","[8026.566300075501, 8028.99429993704]","Extended template","0","0","0","dissimilar","yes","1024","[0, 0.0]","[0, -0.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","left_button","undefined","0","left_button","0","0","0","0","0","3","0","3","3","0","3","3","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","0","0","#fc0107","circle","3","3","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.3043002001941204","NA","2376.3279002159834","2.3043002001941204","#fc0107","rectangle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","8091.411500237882","4859.604199882597","8299.495900049806","8296.391400042921","NA","8296.297099906951","8087.780700065196","[8297.087300103158, 8299.391600303352]","Extended template","0","0","0","similar","yes","1024","[0, -187.0]","[0, -85.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","right_button","undefined","0","right_button","0","0","0","0","0","4","0","4","4","0","4","4","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","0","0","#fc0107","rectangle","4","4","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.684200182557106","NA","2376.3279002159834","2.684200182557106","#fc0107","circle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","8364.847499877214","4859.604199882597","8573.492799885571","8569.514899980277","NA","8569.387400057167","8361.290900036693","[8570.687199942768, 8573.371400125325]","Extended template","0","0","0","similar","yes","1024","[0, -98.0]","[0, -70.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","right_button","undefined","0","right_button","0","0","0","0","0","5","0","5","5","0","5","5","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","None","None","#20ffff","rectangle","5","5","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.1926998160779476","NA","2376.3279002159834","2.1926998160779476","#fc0107","circle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","8634.026099927723","4859.604199882597","8841.488699894398","8838.243500329554","NA","8838.154600001872","8630.39610022679","[8839.192500337958, 8841.385200154036]","Extended template","0","0","0","dissimilar","yes","1024","[0, 0.0]","[0, -0.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","right_button","undefined","0","right_button","0","0","0","0","0","6","0","6","6","0","6","6","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","0","0","#20ffff","rectangle","6","6","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.4697999469935894","NA","2376.3279002159834","2.4697999469935894","#fc0107","circle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","8899.752300232649","4859.604199882597","9107.953099999577","9104.415900073946","NA","9104.325199965388","8896.355600096285","[9105.37900030613, 9107.848800253123]","Extended template","0","0","0","dissimilar","yes","1024","[0, -244.0]","[0, -157.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","0","right_button","undefined","0","right_button","0","0","0","0","0","7","0","7","7","0","7","7","Fri Sep 30 08:48:29 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:\Users\Sabrima Zaki Hansen\PercAct2022\mousetracking\example_experiments","no","mono","no","18","no","white","no","yes","768","None","None","#fc0107","rectangle","7","7","0","C:/Users/Sabrima Zaki Hansen/PercAct2022/mousetracking/example_data/subject-123.csv","Lentiform Loewenfeld","3.3.12","no","0","None","NA","space","None","2.245000097900629","NA","2376.3279002159834","2.245000097900629","#fc0107","circle","2","1024","2","48000","-16","experiment","123","odd","7237.963000312448","7237.84579988569","NA","4834.220200311393","7237.223099917173","9170.633000321686","4859.604199882597","9378.533700015396","9375.026900321245","NA","9374.938900116831","9166.29680013284","[9376.183200161904, 9378.428200259805]","Extended template","0","0","0","similar","yes","1024","[0, 0.0]","[0, -0.0]"
